Epoch,Train Loss,Train Acc,Val Acc,ECE,Adaptive ECE,OE
142,2.2657,0.5101,0.6596,0.1502,0.1499,0.0000
143,2.3187,0.5038,0.6548,0.1599,0.1599,0.0000
144,2.2457,0.5250,0.6596,0.1591,0.1591,0.0000
145,2.3036,0.5091,0.6568,0.1544,0.1543,0.0000
146,2.3457,0.4988,0.6450,0.1534,0.1534,0.0000
147,2.3363,0.5005,0.6448,0.1604,0.1604,0.0000
148,2.2769,0.5126,0.6658,0.1552,0.1552,0.0000
149,2.3308,0.5001,0.6664,0.1606,0.1606,0.0000
150,2.3270,0.5013,0.6562,0.1595,0.1590,0.0000
151,2.2665,0.5174,0.6628,0.1653,0.1653,0.0000
152,2.3136,0.5034,0.6596,0.1660,0.1660,0.0000
153,2.2852,0.5113,0.6600,0.1605,0.1605,0.0000
154,2.2695,0.5191,0.6644,0.1529,0.1529,0.0000
155,2.3519,0.4934,0.6542,0.1608,0.1608,0.0000
156,2.3018,0.5072,0.6648,0.1591,0.1591,0.0000
157,2.2706,0.5186,0.6596,0.1547,0.1547,0.0000
158,2.2557,0.5207,0.6598,0.1619,0.1619,0.0000
159,2.3224,0.4995,0.6586,0.1509,0.1509,0.0000
160,2.2934,0.5131,0.6608,0.1613,0.1613,0.0000
161,2.3533,0.4947,0.6526,0.1606,0.1606,0.0000
162,2.3037,0.5082,0.6556,0.1524,0.1524,0.0000
163,2.3285,0.4991,0.6634,0.1588,0.1588,0.0000
164,2.3632,0.4872,0.6636,0.1574,0.1574,0.0000
165,2.2658,0.5177,0.6682,0.1621,0.1621,0.0000
166,2.3089,0.5041,0.6652,0.1661,0.1661,0.0000
167,2.2895,0.5110,0.6470,0.1514,0.1514,0.0000
168,2.3320,0.5006,0.6574,0.1592,0.1592,0.0000
169,2.2852,0.5087,0.6608,0.1643,0.1640,0.0000
170,2.3043,0.5078,0.6578,0.1603,0.1603,0.0000
171,2.3155,0.5067,0.6502,0.1557,0.1557,0.0000
172,2.3342,0.5003,0.6650,0.1625,0.1625,0.0000
173,2.2611,0.5163,0.6658,0.1500,0.1500,0.0000
174,2.2913,0.5085,0.6650,0.1584,0.1584,0.0000
175,2.3134,0.5085,0.6634,0.1622,0.1622,0.0000
176,2.2983,0.5115,0.6638,0.1565,0.1565,0.0000
177,2.3153,0.5050,0.6566,0.1624,0.1624,0.0000
178,2.2911,0.5091,0.6648,0.1594,0.1592,0.0000
179,2.3428,0.5000,0.6608,0.1619,0.1619,0.0000
180,2.2942,0.5113,0.6638,0.1672,0.1672,0.0000
181,2.3527,0.4916,0.6592,0.1559,0.1559,0.0000
182,2.3946,0.4840,0.6642,0.1561,0.1561,0.0000
183,2.3067,0.5057,0.6684,0.1658,0.1658,0.0000
184,2.3132,0.5054,0.6590,0.1513,0.1512,0.0000
185,2.2313,0.5255,0.6682,0.1630,0.1630,0.0000
186,2.2462,0.5219,0.6628,0.1509,0.1509,0.0000
187,2.2933,0.5095,0.6648,0.1488,0.1488,0.0000
188,2.3214,0.5036,0.6568,0.1695,0.1695,0.0000
189,2.2937,0.5068,0.6674,0.1598,0.1598,0.0000
